"date","category_grouped","outbreak_subgroup","TOTAL_CASES"
"2020-07-11","4 Workplace","WORKPLACE - OTHER",3
"2020-07-11","5 Recreational","BAR/RESTAURANT/NIGHTCLUB",2
"2020-07-12","1 Congregate Care","LONG-TERM CARE HOME",2
"2020-07-12","1 Congregate Care","RETIREMENT HOME",1
"2020-07-12","4 Workplace","RETAIL",1
"2020-07-12","4 Workplace","WORKPLACE - FARM",9
"2020-07-12","4 Workplace","WORKPLACE - OTHER",3
"2020-07-12","5 Recreational","BAR/RESTAURANT/NIGHTCLUB",1
"2020-07-13","1 Congregate Care","HOSPITAL",1
"2020-07-13","1 Congregate Care","LONG-TERM CARE HOME",6
"2020-07-13","4 Workplace","RETAIL",2
"2020-07-13","4 Workplace","WORKPLACE - FARM",5
"2020-07-13","4 Workplace","WORKPLACE - OTHER",2
"2020-07-13","6 Other/Unknown","UNKNOWN",1
"2020-07-14","1 Congregate Care","HOSPITAL",1
"2020-07-14","1 Congregate Care","LONG-TERM CARE HOME",3
"2020-07-14","2 Congregate Living","GROUP HOME/SUPPORTIVE HOUSING",1
"2020-07-14","2 Congregate Living","SHELTER",1
"2020-07-14","4 Workplace","RETAIL",2
"2020-07-14","4 Workplace","WORKPLACE - FARM",4
"2020-07-14","4 Workplace","WORKPLACE - FOOD PROCESSING",1
"2020-07-14","4 Workplace","WORKPLACE - OTHER",6
"2020-07-15","1 Congregate Care","HOSPITAL",3
"2020-07-15","1 Congregate Care","LONG-TERM CARE HOME",1
"2020-07-15","2 Congregate Living","SHELTER",1
"2020-07-15","4 Workplace","RETAIL",4
"2020-07-15","4 Workplace","WORKPLACE - FARM",10
"2020-07-15","4 Workplace","WORKPLACE - OTHER",4
"2020-07-16","1 Congregate Care","HOSPITAL",2
"2020-07-16","1 Congregate Care","LONG-TERM CARE HOME",5
"2020-07-16","1 Congregate Care","RETIREMENT HOME",8
"2020-07-16","4 Workplace","WORKPLACE - FARM",6
"2020-07-16","4 Workplace","WORKPLACE - OTHER",6
"2020-07-17","1 Congregate Care","HOSPITAL",1
"2020-07-17","1 Congregate Care","LONG-TERM CARE HOME",6
"2020-07-17","1 Congregate Care","RETIREMENT HOME",2
"2020-07-17","4 Workplace","WORKPLACE - FARM",13
"2020-07-17","4 Workplace","WORKPLACE - OTHER",4
"2020-07-17","6 Other/Unknown","UNKNOWN",3
"2020-07-18","1 Congregate Care","HOSPITAL",2
"2020-07-18","2 Congregate Living","GROUP HOME/SUPPORTIVE HOUSING",1
"2020-07-18","4 Workplace","RETAIL",1
"2020-07-18","4 Workplace","WORKPLACE - FARM",9
"2020-07-18","4 Workplace","WORKPLACE - OTHER",19
"2020-07-18","6 Other/Unknown","UNKNOWN",1
"2020-07-19","1 Congregate Care","LONG-TERM CARE HOME",3
"2020-07-19","1 Congregate Care","RETIREMENT HOME",1
"2020-07-19","4 Workplace","WORKPLACE - FARM",3
"2020-07-19","4 Workplace","WORKPLACE - OTHER",7
"2020-07-20","1 Congregate Care","LONG-TERM CARE HOME",4
"2020-07-20","1 Congregate Care","RETIREMENT HOME",2
"2020-07-20","2 Congregate Living","GROUP HOME/SUPPORTIVE HOUSING",1
"2020-07-20","3 Education","CHILD CARE",5
"2020-07-20","4 Workplace","WORKPLACE - FARM",10
"2020-07-20","4 Workplace","WORKPLACE - OTHER",6
"2020-07-20","6 Other/Unknown","UNKNOWN",2
"2020-07-21","3 Education","CHILD CARE",1
"2020-07-21","4 Workplace","WORKPLACE - FARM",5
"2020-07-21","4 Workplace","WORKPLACE - OTHER",7
"2020-07-21","5 Recreational","OTHER RECREATION",1
"2020-07-22","1 Congregate Care","LONG-TERM CARE HOME",1
"2020-07-22","1 Congregate Care","RETIREMENT HOME",2
"2020-07-22","4 Workplace","WORKPLACE - FARM",7
"2020-07-22","4 Workplace","WORKPLACE - OTHER",4
"2020-07-22","6 Other/Unknown","UNKNOWN",1
"2020-07-23","1 Congregate Care","HOSPITAL",1
"2020-07-23","1 Congregate Care","LONG-TERM CARE HOME",4
"2020-07-23","1 Congregate Care","RETIREMENT HOME",2
"2020-07-23","3 Education","CHILD CARE",3
"2020-07-23","4 Workplace","WORKPLACE - FARM",23
"2020-07-23","4 Workplace","WORKPLACE - OTHER",5
"2020-07-23","5 Recreational","OTHER RECREATION",1
"2020-07-23","6 Other/Unknown","UNKNOWN",2
"2020-07-24","1 Congregate Care","LONG-TERM CARE HOME",3
"2020-07-24","3 Education","CHILD CARE",6
"2020-07-24","4 Workplace","WORKPLACE - FARM",10
"2020-07-24","4 Workplace","WORKPLACE - OTHER",2
"2020-07-24","5 Recreational","OTHER RECREATION",3
"2020-07-24","6 Other/Unknown","UNKNOWN",1
"2020-07-25","1 Congregate Care","HOSPITAL",1
"2020-07-25","1 Congregate Care","LONG-TERM CARE HOME",1
"2020-07-25","1 Congregate Care","RETIREMENT HOME",2
"2020-07-25","3 Education","CHILD CARE",1
"2020-07-25","4 Workplace","WORKPLACE - FARM",9
"2020-07-25","4 Workplace","WORKPLACE - OTHER",2
"2020-07-25","6 Other/Unknown","UNKNOWN",1
"2020-07-26","1 Congregate Care","LONG-TERM CARE HOME",2
"2020-07-26","3 Education","CHILD CARE",2
"2020-07-26","4 Workplace","WORKPLACE - FARM",21
"2020-07-26","4 Workplace","WORKPLACE - OTHER",4
"2020-07-26","5 Recreational","OTHER RECREATION",1
"2020-07-26","6 Other/Unknown","UNKNOWN",3
"2020-07-27","1 Congregate Care","HOSPITAL",1
"2020-07-27","1 Congregate Care","LONG-TERM CARE HOME",3
"2020-07-27","1 Congregate Care","RETIREMENT HOME",3
"2020-07-27","2 Congregate Living","GROUP HOME/SUPPORTIVE HOUSING",1
"2020-07-27","3 Education","CHILD CARE",1
"2020-07-27","4 Workplace","WORKPLACE - FARM",11
"2020-07-27","4 Workplace","WORKPLACE - OTHER",6
"2020-07-27","6 Other/Unknown","UNKNOWN",4
"2020-07-28","1 Congregate Care","LONG-TERM CARE HOME",2
"2020-07-28","3 Education","CHILD CARE",2
"2020-07-28","4 Workplace","WORKPLACE - FARM",11
"2020-07-28","4 Workplace","WORKPLACE - OTHER",7
"2020-07-29","1 Congregate Care","LONG-TERM CARE HOME",2
"2020-07-29","3 Education","CHILD CARE",4
"2020-07-29","4 Workplace","WORKPLACE - FARM",2
"2020-07-29","4 Workplace","WORKPLACE - FOOD PROCESSING",3
"2020-07-29","4 Workplace","WORKPLACE - OTHER",2
"2020-07-29","5 Recreational","OTHER RECREATION",1
"2020-07-30","1 Congregate Care","LONG-TERM CARE HOME",2
"2020-07-30","3 Education","CHILD CARE",1
"2020-07-30","4 Workplace","WORKPLACE - FARM",7
"2020-07-30","4 Workplace","WORKPLACE - FOOD PROCESSING",1
"2020-07-30","4 Workplace","WORKPLACE - OTHER",3
"2020-07-30","5 Recreational","OTHER RECREATION",2
"2020-07-30","6 Other/Unknown","UNKNOWN",2
"2020-07-31","1 Congregate Care","HOSPITAL",1
"2020-07-31","1 Congregate Care","RETIREMENT HOME",1
"2020-07-31","2 Congregate Living","SHELTER",1
"2020-07-31","4 Workplace","WORKPLACE - FOOD PROCESSING",1
"2020-07-31","4 Workplace","WORKPLACE - OTHER",5
"2020-08-01","1 Congregate Care","LONG-TERM CARE HOME",1
"2020-08-01","2 Congregate Living","GROUP HOME/SUPPORTIVE HOUSING",1
"2020-08-01","2 Congregate Living","SHELTER",1
"2020-08-01","3 Education","CHILD CARE",1
"2020-08-01","4 Workplace","WORKPLACE - FARM",1
"2020-08-01","4 Workplace","WORKPLACE - OTHER",2
"2020-08-02","1 Congregate Care","LONG-TERM CARE HOME",2
"2020-08-02","4 Workplace","WORKPLACE - FARM",1
"2020-08-02","4 Workplace","WORKPLACE - FOOD PROCESSING",2
"2020-08-02","5 Recreational","OTHER RECREATION",2
"2020-08-03","1 Congregate Care","LONG-TERM CARE HOME",2
"2020-08-03","1 Congregate Care","RETIREMENT HOME",1
"2020-08-03","2 Congregate Living","GROUP HOME/SUPPORTIVE HOUSING",3
"2020-08-03","4 Workplace","WORKPLACE - FARM",5
"2020-08-03","4 Workplace","WORKPLACE - OTHER",1
"2020-08-04","1 Congregate Care","LONG-TERM CARE HOME",1
"2020-08-04","1 Congregate Care","RETIREMENT HOME",1
"2020-08-04","2 Congregate Living","GROUP HOME/SUPPORTIVE HOUSING",2
"2020-08-04","2 Congregate Living","SHELTER",1
"2020-08-04","4 Workplace","WORKPLACE - FARM",1
"2020-08-04","4 Workplace","WORKPLACE - OTHER",1
"2020-08-04","5 Recreational","OTHER RECREATION",4
"2020-08-05","1 Congregate Care","HOSPITAL",1
"2020-08-05","1 Congregate Care","LONG-TERM CARE HOME",1
"2020-08-05","2 Congregate Living","SHELTER",1
"2020-08-05","3 Education","CHILD CARE",1
"2020-08-05","4 Workplace","WORKPLACE - FARM",1
"2020-08-05","4 Workplace","WORKPLACE - FOOD PROCESSING",2
"2020-08-05","4 Workplace","WORKPLACE - OTHER",2
"2020-08-06","1 Congregate Care","HOSPITAL",1
"2020-08-06","1 Congregate Care","LONG-TERM CARE HOME",4
"2020-08-06","2 Congregate Living","CORRECTIONAL FACILITY",1
"2020-08-06","2 Congregate Living","SHELTER",1
"2020-08-06","4 Workplace","WORKPLACE - FARM",1
"2020-08-06","4 Workplace","WORKPLACE - FOOD PROCESSING",1
"2020-08-06","4 Workplace","WORKPLACE - OTHER",2
"2020-08-07","1 Congregate Care","LONG-TERM CARE HOME",1
"2020-08-07","4 Workplace","WORKPLACE - OTHER",1
"2020-08-07","6 Other/Unknown","UNKNOWN",1
"2020-08-08","1 Congregate Care","HOSPITAL",1
"2020-08-08","1 Congregate Care","LONG-TERM CARE HOME",1
"2020-08-08","4 Workplace","WORKPLACE - FARM",2
"2020-08-08","4 Workplace","WORKPLACE - OTHER",2
"2020-08-08","5 Recreational","OTHER RECREATION",2
"2020-08-09","1 Congregate Care","RETIREMENT HOME",1
"2020-08-09","2 Congregate Living","SHELTER",2
"2020-08-09","4 Workplace","WORKPLACE - FARM",2
"2020-08-09","4 Workplace","WORKPLACE - OTHER",2
"2020-08-09","5 Recreational","OTHER RECREATION",1
"2020-08-10","1 Congregate Care","RETIREMENT HOME",1
"2020-08-10","4 Workplace","WORKPLACE - OTHER",3
"2020-08-11","2 Congregate Living","SHELTER",3
"2020-08-12","1 Congregate Care","LONG-TERM CARE HOME",1
"2020-08-12","4 Workplace","WORKPLACE - FARM",2
"2020-08-12","4 Workplace","WORKPLACE - OTHER",2
"2020-08-13","1 Congregate Care","LONG-TERM CARE HOME",1
"2020-08-13","4 Workplace","WORKPLACE - OTHER",3
"2020-08-13","5 Recreational","RECREATIONAL FITNESS",1
"2020-08-14","4 Workplace","WORKPLACE - OTHER",4
"2020-08-14","5 Recreational","BAR/RESTAURANT/NIGHTCLUB",1
"2020-08-15","1 Congregate Care","LONG-TERM CARE HOME",2
"2020-08-15","4 Workplace","WORKPLACE - FARM",1
"2020-08-15","4 Workplace","WORKPLACE - FOOD PROCESSING",1
"2020-08-15","4 Workplace","WORKPLACE - OTHER",1
"2020-08-16","1 Congregate Care","LONG-TERM CARE HOME",1
"2020-08-16","1 Congregate Care","RETIREMENT HOME",1
"2020-08-16","4 Workplace","WORKPLACE - OTHER",3
"2020-08-17","1 Congregate Care","RETIREMENT HOME",3
"2020-08-17","2 Congregate Living","GROUP HOME/SUPPORTIVE HOUSING",1
"2020-08-17","4 Workplace","WORKPLACE - FARM",1
"2020-08-17","4 Workplace","WORKPLACE - OTHER",2
"2020-08-17","5 Recreational","BAR/RESTAURANT/NIGHTCLUB",1
"2020-08-17","5 Recreational","RECREATIONAL FITNESS",1
"2020-08-18","1 Congregate Care","RETIREMENT HOME",6
"2020-08-18","3 Education","CHILD CARE",3
"2020-08-18","4 Workplace","WORKPLACE - FARM",6
"2020-08-18","4 Workplace","WORKPLACE - FOOD PROCESSING",1
"2020-08-18","4 Workplace","WORKPLACE - OTHER",2
"2020-08-19","1 Congregate Care","RETIREMENT HOME",3
"2020-08-19","3 Education","CHILD CARE",1
"2020-08-19","4 Workplace","MEDICAL/HEALTH SERVICE",1
"2020-08-19","4 Workplace","WORKPLACE - OTHER",7
"2020-08-19","5 Recreational","OTHER RECREATION",1
"2020-08-20","1 Congregate Care","RETIREMENT HOME",3
"2020-08-20","2 Congregate Living","GROUP HOME/SUPPORTIVE HOUSING",1
"2020-08-20","3 Education","CHILD CARE",1
"2020-08-20","4 Workplace","WORKPLACE - FOOD PROCESSING",1
"2020-08-20","4 Workplace","WORKPLACE - OTHER",1
"2020-08-20","5 Recreational","BAR/RESTAURANT/NIGHTCLUB",2
"2020-08-20","5 Recreational","OTHER RECREATION",1
"2020-08-21","1 Congregate Care","LONG-TERM CARE HOME",2
"2020-08-21","1 Congregate Care","RETIREMENT HOME",8
"2020-08-21","4 Workplace","WORKPLACE - FARM",1
"2020-08-21","4 Workplace","WORKPLACE - OTHER",1
"2020-08-21","5 Recreational","OTHER RECREATION",1
"2020-08-22","1 Congregate Care","LONG-TERM CARE HOME",3
"2020-08-22","1 Congregate Care","RETIREMENT HOME",1
"2020-08-22","2 Congregate Living","SHELTER",1
"2020-08-22","3 Education","CHILD CARE",1
"2020-08-22","4 Workplace","RETAIL",2
"2020-08-22","4 Workplace","WORKPLACE - FOOD PROCESSING",1
"2020-08-22","4 Workplace","WORKPLACE - OTHER",1
"2020-08-22","5 Recreational","OTHER RECREATION",1
"2020-08-23","1 Congregate Care","HOSPITAL",2
"2020-08-23","1 Congregate Care","LONG-TERM CARE HOME",1
"2020-08-23","1 Congregate Care","RETIREMENT HOME",3
"2020-08-23","4 Workplace","WORKPLACE - FARM",1
"2020-08-23","4 Workplace","WORKPLACE - OTHER",1
"2020-08-23","5 Recreational","OTHER RECREATION",1
"2020-08-24","1 Congregate Care","LONG-TERM CARE HOME",1
"2020-08-24","4 Workplace","WORKPLACE - OTHER",2
"2020-08-24","5 Recreational","OTHER RECREATION",2
"2020-08-25","1 Congregate Care","LONG-TERM CARE HOME",1
"2020-08-25","1 Congregate Care","RETIREMENT HOME",2
"2020-08-25","2 Congregate Living","SHELTER",2
"2020-08-25","4 Workplace","WORKPLACE - FARM",1
"2020-08-25","4 Workplace","WORKPLACE - OTHER",1
"2020-08-25","5 Recreational","OTHER RECREATION",3
"2020-08-26","1 Congregate Care","LONG-TERM CARE HOME",3
"2020-08-26","1 Congregate Care","RETIREMENT HOME",2
"2020-08-26","2 Congregate Living","SHELTER",2
"2020-08-26","4 Workplace","RETAIL",1
"2020-08-26","4 Workplace","WORKPLACE - OTHER",3
"2020-08-26","5 Recreational","OTHER RECREATION",2
"2020-08-27","1 Congregate Care","LONG-TERM CARE HOME",5
"2020-08-27","1 Congregate Care","RETIREMENT HOME",2
"2020-08-27","2 Congregate Living","SHELTER",1
"2020-08-27","4 Workplace","WORKPLACE - OTHER",1
"2020-08-27","5 Recreational","OTHER RECREATION",1
"2020-08-27","5 Recreational","RECREATIONAL FITNESS",1
"2020-08-28","1 Congregate Care","LONG-TERM CARE HOME",1
"2020-08-28","1 Congregate Care","RETIREMENT HOME",2
"2020-08-28","3 Education","CHILD CARE",2
"2020-08-28","4 Workplace","WORKPLACE - OTHER",3
"2020-08-29","1 Congregate Care","LONG-TERM CARE HOME",4
"2020-08-29","1 Congregate Care","RETIREMENT HOME",2
"2020-08-29","3 Education","CHILD CARE",3
"2020-08-30","1 Congregate Care","LONG-TERM CARE HOME",2
"2020-08-30","1 Congregate Care","RETIREMENT HOME",3
"2020-08-30","2 Congregate Living","GROUP HOME/SUPPORTIVE HOUSING",2
"2020-08-30","3 Education","CHILD CARE",4
"2020-08-30","4 Workplace","WORKPLACE - OTHER",1
"2020-08-31","1 Congregate Care","LONG-TERM CARE HOME",2
"2020-08-31","1 Congregate Care","RETIREMENT HOME",4
"2020-08-31","2 Congregate Living","GROUP HOME/SUPPORTIVE HOUSING",2
"2020-08-31","3 Education","CHILD CARE",3
"2020-08-31","4 Workplace","WORKPLACE - FOOD PROCESSING",1
"2020-08-31","4 Workplace","WORKPLACE - OTHER",2
"2020-09-01","1 Congregate Care","LONG-TERM CARE HOME",2
"2020-09-01","3 Education","CHILD CARE",1
"2020-09-01","4 Workplace","WORKPLACE - OTHER",10
"2020-09-01","5 Recreational","BAR/RESTAURANT/NIGHTCLUB",1
"2020-09-01","5 Recreational","PERSONAL SERVICE SETTINGS",1
"2020-09-02","1 Congregate Care","LONG-TERM CARE HOME",11
"2020-09-02","2 Congregate Living","GROUP HOME/SUPPORTIVE HOUSING",1
"2020-09-02","4 Workplace","MEDICAL/HEALTH SERVICE",1
"2020-09-02","4 Workplace","WORKPLACE - OTHER",20
"2020-09-02","5 Recreational","BAR/RESTAURANT/NIGHTCLUB",1
"2020-09-02","5 Recreational","OTHER RECREATION",1
"2020-09-03","1 Congregate Care","LONG-TERM CARE HOME",3
"2020-09-03","1 Congregate Care","RETIREMENT HOME",2
"2020-09-03","2 Congregate Living","GROUP HOME/SUPPORTIVE HOUSING",1
"2020-09-03","4 Workplace","WORKPLACE - FOOD PROCESSING",2
"2020-09-03","4 Workplace","WORKPLACE - OTHER",17
"2020-09-03","5 Recreational","BAR/RESTAURANT/NIGHTCLUB",1
"2020-09-03","5 Recreational","OTHER RECREATION",5
"2020-09-04","1 Congregate Care","LONG-TERM CARE HOME",2
"2020-09-04","1 Congregate Care","RETIREMENT HOME",3
"2020-09-04","2 Congregate Living","GROUP HOME/SUPPORTIVE HOUSING",1
"2020-09-04","3 Education","CHILD CARE",1
"2020-09-04","4 Workplace","RETAIL",1
"2020-09-04","4 Workplace","WORKPLACE - FOOD PROCESSING",1
"2020-09-04","4 Workplace","WORKPLACE - OTHER",4
"2020-09-04","5 Recreational","BAR/RESTAURANT/NIGHTCLUB",2
"2020-09-04","5 Recreational","OTHER RECREATION",13
"2020-09-05","1 Congregate Care","LONG-TERM CARE HOME",5
"2020-09-05","1 Congregate Care","RETIREMENT HOME",8
"2020-09-05","2 Congregate Living","SHELTER",1
"2020-09-05","3 Education","CHILD CARE",1
"2020-09-05","4 Workplace","RETAIL",1
"2020-09-05","4 Workplace","WORKPLACE - OTHER",3
"2020-09-05","5 Recreational","OTHER RECREATION",9
"2020-09-06","1 Congregate Care","LONG-TERM CARE HOME",12
"2020-09-06","2 Congregate Living","GROUP HOME/SUPPORTIVE HOUSING",2
"2020-09-06","3 Education","CHILD CARE",1
"2020-09-06","4 Workplace","MEDICAL/HEALTH SERVICE",1
"2020-09-06","4 Workplace","WORKPLACE - FOOD PROCESSING",2
"2020-09-06","4 Workplace","WORKPLACE - OTHER",5
"2020-09-06","5 Recreational","BAR/RESTAURANT/NIGHTCLUB",1
"2020-09-06","5 Recreational","OTHER RECREATION",10
"2020-09-07","1 Congregate Care","LONG-TERM CARE HOME",9
"2020-09-07","2 Congregate Living","GROUP HOME/SUPPORTIVE HOUSING",1
"2020-09-07","3 Education","CHILD CARE",1
"2020-09-07","4 Workplace","WORKPLACE - FOOD PROCESSING",2
"2020-09-07","4 Workplace","WORKPLACE - OTHER",2
"2020-09-07","5 Recreational","BAR/RESTAURANT/NIGHTCLUB",2
"2020-09-07","5 Recreational","OTHER RECREATION",5
"2020-09-08","1 Congregate Care","LONG-TERM CARE HOME",1
"2020-09-08","3 Education","CHILD CARE",1
"2020-09-08","4 Workplace","MEDICAL/HEALTH SERVICE",1
"2020-09-08","4 Workplace","WORKPLACE - FOOD PROCESSING",1
"2020-09-08","4 Workplace","WORKPLACE - OTHER",2
"2020-09-08","5 Recreational","BAR/RESTAURANT/NIGHTCLUB",2
"2020-09-08","5 Recreational","OTHER RECREATION",3
"2020-09-09","1 Congregate Care","RETIREMENT HOME",1
"2020-09-09","2 Congregate Living","SHELTER",1
"2020-09-09","3 Education","CHILD CARE",1
"2020-09-09","4 Workplace","WORKPLACE - FOOD PROCESSING",2
"2020-09-09","4 Workplace","WORKPLACE - OTHER",2
"2020-09-09","5 Recreational","BAR/RESTAURANT/NIGHTCLUB",6
"2020-09-09","5 Recreational","OTHER RECREATION",3
"2020-09-10","1 Congregate Care","LONG-TERM CARE HOME",5
"2020-09-10","1 Congregate Care","RETIREMENT HOME",3
"2020-09-10","4 Workplace","MEDICAL/HEALTH SERVICE",1
"2020-09-10","4 Workplace","WORKPLACE - FOOD PROCESSING",1
"2020-09-10","4 Workplace","WORKPLACE - OTHER",6
"2020-09-10","5 Recreational","BAR/RESTAURANT/NIGHTCLUB",8
"2020-09-10","5 Recreational","OTHER RECREATION",3
"2020-09-11","1 Congregate Care","LONG-TERM CARE HOME",14
"2020-09-11","1 Congregate Care","RETIREMENT HOME",1
"2020-09-11","2 Congregate Living","GROUP HOME/SUPPORTIVE HOUSING",1
"2020-09-11","3 Education","CHILD CARE",2
"2020-09-11","3 Education","SCHOOL - ELEMENTARY",2
"2020-09-11","3 Education","SCHOOL - SECONDARY",1
"2020-09-11","4 Workplace","RETAIL",1
"2020-09-11","4 Workplace","WORKPLACE - FOOD PROCESSING",1
"2020-09-11","4 Workplace","WORKPLACE - OTHER",1
"2020-09-11","5 Recreational","BAR/RESTAURANT/NIGHTCLUB",7
"2020-09-11","5 Recreational","RECREATIONAL FITNESS",2
"2020-09-12","1 Congregate Care","LONG-TERM CARE HOME",7
"2020-09-12","2 Congregate Living","GROUP HOME/SUPPORTIVE HOUSING",2
"2020-09-12","2 Congregate Living","SHELTER",1
"2020-09-12","3 Education","CHILD CARE",1
"2020-09-12","3 Education","SCHOOL - ELEMENTARY",1
"2020-09-12","3 Education","SCHOOL - SECONDARY",1
"2020-09-12","4 Workplace","WORKPLACE - FOOD PROCESSING",6
"2020-09-12","4 Workplace","WORKPLACE - OTHER",1
"2020-09-12","5 Recreational","BAR/RESTAURANT/NIGHTCLUB",6
"2020-09-12","5 Recreational","OTHER RECREATION",5
"2020-09-12","5 Recreational","RECREATIONAL FITNESS",3
"2020-09-13","1 Congregate Care","LONG-TERM CARE HOME",5
"2020-09-13","1 Congregate Care","RETIREMENT HOME",2
"2020-09-13","2 Congregate Living","GROUP HOME/SUPPORTIVE HOUSING",1
"2020-09-13","2 Congregate Living","SHELTER",1
"2020-09-13","3 Education","SCHOOL - SECONDARY",1
"2020-09-13","4 Workplace","WORKPLACE - FOOD PROCESSING",1
"2020-09-13","4 Workplace","WORKPLACE - OTHER",1
"2020-09-13","5 Recreational","BAR/RESTAURANT/NIGHTCLUB",5
"2020-09-13","5 Recreational","OTHER RECREATION",4
"2020-09-14","1 Congregate Care","LONG-TERM CARE HOME",24
"2020-09-14","1 Congregate Care","RETIREMENT HOME",4
"2020-09-14","2 Congregate Living","GROUP HOME/SUPPORTIVE HOUSING",2
"2020-09-14","3 Education","SCHOOL - SECONDARY",1
"2020-09-14","4 Workplace","WORKPLACE - FOOD PROCESSING",1
"2020-09-14","4 Workplace","WORKPLACE - OTHER",1
"2020-09-14","5 Recreational","BAR/RESTAURANT/NIGHTCLUB",6
"2020-09-14","5 Recreational","OTHER RECREATION",2
"2020-09-14","5 Recreational","RECREATIONAL FITNESS",1
"2020-09-15","1 Congregate Care","HOSPITAL",1
"2020-09-15","1 Congregate Care","LONG-TERM CARE HOME",5
"2020-09-15","2 Congregate Living","GROUP HOME/SUPPORTIVE HOUSING",1
"2020-09-15","2 Congregate Living","SHELTER",2
"2020-09-15","4 Workplace","MEDICAL/HEALTH SERVICE",1
"2020-09-15","4 Workplace","WORKPLACE - FOOD PROCESSING",1
"2020-09-15","4 Workplace","WORKPLACE - OTHER",3
"2020-09-15","5 Recreational","BAR/RESTAURANT/NIGHTCLUB",6
"2020-09-15","5 Recreational","OTHER RECREATION",6
"2020-09-15","5 Recreational","RECREATIONAL FITNESS",1
"2020-09-16","1 Congregate Care","HOSPITAL",2
"2020-09-16","1 Congregate Care","LONG-TERM CARE HOME",4
"2020-09-16","1 Congregate Care","RETIREMENT HOME",1
"2020-09-16","3 Education","CHILD CARE",3
"2020-09-16","3 Education","SCHOOL - SECONDARY",1
"2020-09-16","4 Workplace","MEDICAL/HEALTH SERVICE",1
"2020-09-16","4 Workplace","RETAIL",1
"2020-09-16","4 Workplace","WORKPLACE - FOOD PROCESSING",3
"2020-09-16","4 Workplace","WORKPLACE - OTHER",5
"2020-09-16","5 Recreational","BAR/RESTAURANT/NIGHTCLUB",8
"2020-09-16","5 Recreational","OTHER RECREATION",5
"2020-09-16","5 Recreational","RECREATIONAL FITNESS",1
"2020-09-17","1 Congregate Care","LONG-TERM CARE HOME",19
"2020-09-17","2 Congregate Living","CONGREGATE OTHER",1
"2020-09-17","2 Congregate Living","SHELTER",1
"2020-09-17","3 Education","CHILD CARE",5
"2020-09-17","3 Education","SCHOOL - ELEMENTARY",2
"2020-09-17","3 Education","SCHOOL - SECONDARY",1
"2020-09-17","4 Workplace","RETAIL",1
"2020-09-17","4 Workplace","WORKPLACE - FOOD PROCESSING",2
"2020-09-17","4 Workplace","WORKPLACE - OTHER",1
"2020-09-17","5 Recreational","BAR/RESTAURANT/NIGHTCLUB",11
"2020-09-17","5 Recreational","OTHER RECREATION",11
"2020-09-17","5 Recreational","RECREATIONAL FITNESS",2
"2020-09-18","1 Congregate Care","LONG-TERM CARE HOME",10
"2020-09-18","2 Congregate Living","GROUP HOME/SUPPORTIVE HOUSING",3
"2020-09-18","3 Education","CHILD CARE",3
"2020-09-18","3 Education","SCHOOL - ELEMENTARY",2
"2020-09-18","3 Education","SCHOOL - SECONDARY",1
"2020-09-18","4 Workplace","WORKPLACE - FOOD PROCESSING",6
"2020-09-18","4 Workplace","WORKPLACE - OTHER",1
"2020-09-18","5 Recreational","BAR/RESTAURANT/NIGHTCLUB",6
"2020-09-18","5 Recreational","OTHER RECREATION",12
"2020-09-19","1 Congregate Care","LONG-TERM CARE HOME",16
"2020-09-19","2 Congregate Living","GROUP HOME/SUPPORTIVE HOUSING",3
"2020-09-19","3 Education","CHILD CARE",2
"2020-09-19","3 Education","SCHOOL - ELEMENTARY",5
"2020-09-19","4 Workplace","RETAIL",2
"2020-09-19","4 Workplace","WORKPLACE - FOOD PROCESSING",1
"2020-09-19","4 Workplace","WORKPLACE - OTHER",1
"2020-09-19","5 Recreational","BAR/RESTAURANT/NIGHTCLUB",9
"2020-09-19","5 Recreational","OTHER RECREATION",4
"2020-09-19","5 Recreational","RECREATIONAL FITNESS",4
"2020-09-20","1 Congregate Care","HOSPITAL",1
"2020-09-20","1 Congregate Care","LONG-TERM CARE HOME",6
"2020-09-20","1 Congregate Care","RETIREMENT HOME",1
"2020-09-20","3 Education","CHILD CARE",2
"2020-09-20","3 Education","SCHOOL - ELEMENTARY",4
"2020-09-20","3 Education","SCHOOL - SECONDARY",2
"2020-09-20","4 Workplace","RETAIL",1
"2020-09-20","4 Workplace","WORKPLACE - FOOD PROCESSING",2
"2020-09-20","4 Workplace","WORKPLACE - OTHER",6
"2020-09-20","5 Recreational","BAR/RESTAURANT/NIGHTCLUB",6
"2020-09-20","5 Recreational","RECREATIONAL FITNESS",3
"2020-09-21","1 Congregate Care","HOSPITAL",1
"2020-09-21","1 Congregate Care","LONG-TERM CARE HOME",7
"2020-09-21","1 Congregate Care","RETIREMENT HOME",3
"2020-09-21","2 Congregate Living","GROUP HOME/SUPPORTIVE HOUSING",1
"2020-09-21","2 Congregate Living","SHELTER",2
"2020-09-21","3 Education","CHILD CARE",3
"2020-09-21","3 Education","SCHOOL - ELEMENTARY",1
"2020-09-21","3 Education","SCHOOL - ELEMENTARY/SECONDARY",2
"2020-09-21","3 Education","SCHOOL - SECONDARY",2
"2020-09-21","4 Workplace","WORKPLACE - FOOD PROCESSING",2
"2020-09-21","4 Workplace","WORKPLACE - OTHER",2
"2020-09-21","5 Recreational","BAR/RESTAURANT/NIGHTCLUB",16
